PROC_CODE|PROC_CODE_DESC|CODE_CLASS
2951|PIN RETENTION - PER TOOTH ADDITION RESTORATION|1
2952|CAST POST AND CORE IN ADDITION TO CROWN|1
2953|EACH ADDITIONAL CAST POST - SAME TOOTH|1
2954|PREFABRICATED POST AND CORE IN ADDITION TO CROWN|1
2955|POST REMOVAL|1
2957|EACH ADDITIONAL PREFABRICATED POST - SAME TOOTH|1
2960|LABIAL VENEER - CHAIRSIDE|1
2961|LABIAL VENEER - LABORATORY|1
2962|LABIAL VENEER - LABORATORY|1
2970|TEMPORARY CROWN|1
2971|ADD PROC NEW CRWN UND XSTING PART DENTUR FRMEWRK|1
2975|COPING|1
2980|CROWN REPAIR BY REPORT|1
2999|UNSPECIFIED RESTORATIVE PROCEDURE BY REPORT|1
29999|Hold harmless - preventive|1
3110|PULP CAP - DIRECT|1
3120|PULP CAP - INDIRECT|1
3220|TX PULP-REMV PULP CORONAL DENTINOCEMENTL JUNC|1
3221|PULPAL DEBRIDEMENT PRIMARY AND PERMANENT TEETH|1
3230|PULPAL THERAPY - ANTERIOR PRIMARY TOOTH|1
3240|PULPAL THERAPY - POSTERIOR PRIMARY TOOTH|1
3310|ANTERIOR|1
3320|BICUSPID|1
3330|MOLAR|1
3331|TREATMENT RC OBSTRUCTION; NON-SURGICAL ACCESS|1
3332|INCOMPLETE ENDO TX; INOP UNRESTORABLE/FX TOOTH|1
3333|INTERNAL ROOT REPAIR OF PERFORATION DEFECTS|1
3346|RETREATMENT PREVIOUS RC THERAPY - ANTERIOR|1
3347|RETREATMENT PREVIOUS RC THERAPY - BICUSPID|1
3348|RETREATMENT PREVIOUS ROOT CANAL THERAPY - MOLAR|1
3351|APEXIFICATION/RECALCIFICATION - INITIAL VISIT|1
3352|APEXIFICAT/RECALCIFICAT - INTERIM MEDREPL|1
3353|APEXIFICATION/RECALCIFICATION - FINAL VISIT|1
3410|APICOECTOMY/PERIRADICULAR SURGERY - ANTERIOR|1
3421|APICOECTOMY/PERIRADICULAR SURGERY - BICUSPID|1
3425|APICOECTOMY/PERIRADICULAR SURGERY - MOLAR|1
3426|APICOECTOMY/PERIRADICULAR SURGERY|1
3430|RETROGRADE FILLING - PER ROOT|1
3450|ROOT AMPUTATION - PER ROOT|1
3460|ENDODONTIC ENDOSSEOUS IMPLANT|1
3470|INTENTIONAL REIMPLANTATION|1
3910|SURGICAL PROCEDURE ISOLATION TOOTH W/RUBBER DAM|1
3920|HEMISECTION NOT INCLUDING ROOT CANAL THERAPY|1
3950|CANAL PREPARATION&FITTING PREFORMED DOWEL/POST|1
3960|BLEACHING OF DISCOLORED TOOTH|1
3999|UNSPECIFIED ENDODONTIC PROCEDURE BY REPORT|1
39999|Hold harmless  basic|1
4210|GINGIVECT/PLSTY 4/>CNTIG/BOUND TEETH SPACES-QUAD|1
4211|GINGIVECT/PLSTY 1-3 CNTIG/BOUND TEETH SPACE-QUAD|1
4220|GING CURET SURG/QUAD BR|1
4221|GING CURET SURG/QUAD BR|1
4240|GINGL FLP PROC 4/> CONTIG/BOUND TEETH SPACE-QUAD|1
4241|GINGL FLP PROC 1-3 CONTIG/BOUND TEETH SPACE-QUAD|1
4245|APICALLY POSITIONED FLAP|1
4249|CLINICAL CROWN LENGTHENING - HARD TISSUE|1
4250|MUCOGINGIVAL SURG-PER QUADRANT|1
4260|OSSEOUS SURG 4/> CONTIG/BOUND TEETH SPACES-QUAD|1
4261|OSSEOUS SURG 1-3 CONTIG/BOUND TEETH SPACES-QUAD|1
4263|BONE REPLACEMENT GRAFT - FIRST SITE IN QUADRANT|1
4264|BONE REPLACEMENT GRAFT - EA ADD SITE QUADRANT|1
4265|BIOLOGIC MATERIALS AID SOFT&OSSEOUS TISSUE REGEN|1
4266|GUID TISSUE REGEN - RESORBABLE BARRIER PER SITE|1
4267|GUID TISSUE REGEN - NONRESORB BARRIER PER SITE|1
4268|SURGICAL REVISION PROCEDURE PER TOOTH|1
4270|PEDICLE SOFT TISSUE GRAFT PROCEDURE|1
4271|FREE SOFT TISSUE GRAFT PROCEDURE|1
4273|SUBEPITHEL CONECTIVE TISSUE GRAFT PROC PER TOOTH|1
4274|DISTAL OR PROXIMAL WEDGE PROCEDURE|1
4275|SOFT TISSUE ALLOGRAFT|1
4276|COMB CNCTIVE TISSUE&DBL PEDICLE GRAFT PER TOOTH|1
42907|immediate maxillary partial denture - cast metal framework with resin denture bases (including any conventional clasps, rests and teeth)|0
4320|PROVISIONAL SPLINTING - INTRACORONAL|1
4321|PROVISIONAL SPLINTING - EXTRACORONAL|1
4340|PERIODONTAL SCALING & ROOT PLANNING|1
4341|PRDONTAL SCALING&ROOT PLANING 4/MORE TEETH-QUAD|1
4342|PRDONTAL SCALING&ROOT PLANING 1-3 TEETH-QUAD|1
4355|FULL MOUTH DEBRID ENABLE COMP EVALUATION&DX|1
4381|LOC DEL ANTIMICROBL AGTS CREVICULR TISS TOOTH BR|1
4555|FACILITY FEE|1
4910|PERIODONTAL MAINTENANCE|1
4920|UNSCHEDULED DRESSING CHANGE|1
4999|UNSPECIFIED PERIODONTAL PROCEDURE BY REPORT|1
49999|Hold harmless  major|1
5110|COMPLETE DENTURE - MAXILLARY|1
5120|COMPLETE DENTURE - MANDIBULAR|1
5130|IMMEDIATE DENTURE - MAXILLARY|1
5140|IMMEDIATE DENTURE - MANDIBULAR|1
5211|MAXILLARY PARTIAL DENTURE - RESIN BASE|1
5212|MANDIBULAR PARTIAL DENTURE - RESIN BASE|1
5213|MAX PART DENTUR-CAST METL FRMEWRK W/RSN BASE|1
5214|MAND PART DENTUR- CAST METL FRMEWRK W/RSN BASE|1
5225|MAXILLARY PARTIAL DENTRUE FLEXIBLE BASE|1
5226|MANDIBULAR PARTIAL DENTURE FLEXIBLE BASE|1
5281|REMV UNILAT PART DENTUR - 1 PIECE CAST METAL|1
5410|ADJUST COMPLETE DENTURE - MAXILLARY|1
5411|ADJUST COMPLETE DENTURE - MANDIBULAR|1
5421|ADJUST PARTIAL DENTURE - MAXILLARY|1
5422|ADJUST PARTIAL DENTURE - MANDIBULAR|1
5510|REPAIR BROKEN COMPLETE DENTURE BASE|1
5520|REPLACE MISSING/BROKEN TEETH - COMPLETE DENTURE|1
55555|Consultant Review Fee|1
5610|REPAIR RESIN DENTURE BASE|1
5620|REPAIR CAST FRAMEWORK|1
5630|REPAIR OR REPLACE BROKEN CLASP|1
5640|REPLACE BROKEN TEETH - PER TOOTH|1
5650|ADD TOOTH TO EXISTING PARTIAL DENTURE|1
5660|ADD CLASP TO EXISTING PARTIAL DENTURE|1
56666|Vendor Service Fee|1
5670|REPLACE ALL TEETH&ACRYLIC CAST METAL FRMEWRK MAX|1
5671|REPLACE ALL TEETH&ACRYLIC CAST METL FRMEWRK MAND|1
5710|REBASE COMPLETE MAXILLARY DENTURE|1
5711|REBASE COMPLETE MANDIBULAR DENTURE|1
5720|REBASE MAXILLARY PARTIAL DENTURE|1
5721|REBASE MANDIBULAR PARTIAL DENTURE|1
5730|RELINE COMPLETE MAXILLARY DENTURE|1
5731|RELINE COMPLETE MANDIBULAR DENTURE|1
5740|RELINE MAXILLARY PARTIAL DENTURE|1
5741|RELINE MANDIBULAR PARTIAL DENTURE|1
5750|RELINE COMPLETE MAXILLARY DENTURE|1
5751|RELINE COMPLETE MANDIBULAR DENTURE|1
5755|LAB RELINE FL DENTURE|1
5760|RELINE MAXILLARY PARTIAL DENTURE|1
5761|RELINE MANDIBULAR PARTIAL DENTURE|1
57777|Collection Agency Fee|1
5810|INTERIM COMPLETE DENTURE|1
5811|INTERIM COMPLETE DENTURE|1
5820|INTERIM PARTIAL DENTURE|1
5821|INTERIM PARTIAL DENTURE|1
5850|TISSUE CONDITIONING MAXILLARY|1
5851|TISSUE CONDITIONING MANDIBULAR|1
5860|OVERDENTURE - COMPLETE BY REPORT|1
5861|OVERDENTURE - PARTIAL BY REPORT|1
5862|PRECISION ATTACHMENT BY REPORT|1
5867|REPLACEMENT REPL PART SEMI-PRCISN/PRCISN ATTCH|1
5875|MODIFICATION REMV PROSTH FOLLOW IMPLANT SURGERY|1
5899|UNS REMOVABLE PROSTHODONTIC PROCEDURE REPORT|1
5911|FACIAL MOULAGE|1
5912|FACIAL MOULAGE|1
5913|NASAL PROSTHESIS|1
5914|AURICULAR PROSTHESIS|1
5915|ORBITAL PROSTHESIS|1
5916|OCULAR PROSTHESIS|1
5919|FACIAL PROSTHESIS|1
5922|NASAL SEPTAL PROSTHESIS|1
5923|OCULAR PROSTHESIS INTERIM|1
5924|CRANIAL PROSTHESIS|1
5925|FACIAL AUGMENTATION IMPLANT PROSTHESIS|1
5926|NASAL PROSTHESIS REPLACEMENT|1
5927|AURICULAR PROSTHESIS REPLACEMENT|1
5928|ORBITAL PROSTHESIS REPLACEMENT|1
5929|FACIAL PROSTHESIS REPLACEMENT|1
5931|OBTURATOR PROSTHESIS SURGICAL|1
5932|OBTURATOR PROSTHESIS DEFINITIVE|1
5933|OBTURATOR PROSTHESIS MODIFICATION|1
5934|MANDIBULAR RESECTION PROSTHESIS W/GUIDE FLANGE|1
5935|MANDIBULAR RESECTION PROSTHESIS W/O GUIDE FLANGE|1
5936|OBTURATOR/PROSTHESIS INTERIM|1
5937|TRISMUS APPLIANCE NOT TMD TX|1
5951|FEEDING AID|1
5952|SPEECH AID PROSTHESIS PEDIATRIC|1
5953|SPEECH AID PROSTHESIS ADULT|1
5954|PALATAL AUGMENTATION PROSTHESIS|1
5955|PALATAL LIFT PROSTHESIS DEFINITIVE|1
5958|PALATAL LIFT PROSTHESIS INTERIM|1
5959|PALATAL LIFT PROSTHESIS MODIFICATION|1
5960|SPEECH AID PROSTHESIS MODIFICATION|1
5982|SURGICAL STENT|1
5983|RADIATION CARRIER|1
5984|RADIATION SHIELD|1
5985|RADIATION CONE LOCATOR|1
5986|FLUORIDE GEL CARRIER|1
5987|COMMISSURE SPLINT|1
5988|SURGICAL SPLINT|1
5999|UNSPECIFIED MAXILLOFACIAL PROSTHESIS BY REPORT|1
59999|Sales tax|1
6010|SURG PLACEMENT IMPLANT BODY: ENDOSTEAL IMPLANT|1
6020|ABUT PLACEMENT/SUBSTITUTION: ENDOSTEAL IMPLANT|1
6040|SURGICAL PLACEMENT:  EPOSTEAL IMPLANT|1
6050|SURGICAL PLACEMENT: TRANSOSTEAL IMPLANT|1
6053|IMPL/ABUT SUPP REMV DENTUR CMPL EDNTULS ARCH|1
6054|IMPL/ABUT SUPP REMV DENTUR PART EDNTULS ARCH|1
6055|DENTAL IMPLANT SUPPORTED CONNECTING BAR|1
6056|PREFABRICATED ABUTMENT INCLUDES PLACEMENT|1
6057|CUSTOM ABUTMENT INCLUDES PLACEMENT|1
6058|ABUTMENT SUPPORTED PORCELAIN/CERAMIC CROWN|1
6059|ABUT SUPP PORCELAIN TO METL CROWN HI NOBLE METL|1
6060|ABUT SUPP PORCELAIN TO MTL CROWN PREDOM BASE MTL|1
6061|ABUT SUPP PORCELAIN TO METAL CROWN NOBLE METAL|1
6062|ABUTMENT SUPP CAST METAL CROWN HIGH NOBLE METAL|1
6063|ABUTMENT SUPP CAST METAL CROWN PREDOM BASE METAL|1
6064|ABUTMENT SUPP CAST METAL CROWN NOBLE METAL|1
6065|IMPLANT SUPPORTED PORCELAIN/CERAMIC CROWN|1
6066|IMPLANT SUPPORTED PORCELAIN FUSED TO METAL CROWN|1
6067|IMPLANT SUPPORTED METAL CROWN|1
6068|ABUT SUPPORTED RETAINER PORCELAIN/CERAMIC FPD|1
6069|ABUT RETAINR PORCELN TO METL FPD HI NOBL METL|1
6070|ABUT RETN PORCELN TO METL FPD PREDOM BASE METL|1
6071|ABUT SUPPORTED RETAINER PORCELN FUSED METAL FPD|1
6072|ABUTMENT SUPPORTED RETAINER FOR CAST METAL FPD|1
6073|ABUT RETAINR CAST METL FPD PREDOM BASE METL|1
6074|ABUTMENT RETAINR CAST METAL FPD NOBLE METAL|1
6075|IMPLANT SUPPORTED RETAINER FOR CERAMIC FPD|1
6076|IMPLANT SUPPORTED RETAIN PORCELN FUSED METAL FPD|1
6077|IMPLANT SUPPORTED RETAINER FOR CAST METAL FPD|1
6078|IMPLNT/ABUT DENTURE-COMPLT EDENT|1
6079|IMPL/ABUT SUPPORTED FIX DENTUR PART EDNTULS ARCH|1
6080|IMPL MAINT PROC REMV CLEANS PROSTH&ABUTS REINS|1
6090|REPAIR IMPLANTSUPPORTED PROSTHESIS BY REPORT|1
6094|ABUTMENT SUPPORTED CROWN  TITANIUM|1
6095|REPAIR IMPLANT ABUTMENT BY REPORT|1
6100|IMPLANT REMOVAL BY REPORT SEE ALSO CODE 21299|1
6190|RADIOGRAPHIC/SURGICAL IMPLANT INDEX BY REPORT|1
6194|ABUTMENT SUPPORTED RETAINER CROWN FOR FPD|1
6199|UNSPECIFIED IMPLANT PROCEDURE BY REPORT|1
6205|PONTIC INDIRECT RESIN BASED COMPOSITE|1
6210|PONTIC - CAST HIGH NOBLE METAL|1
6211|PONTIC - CAST PREDOMINANTLY BASE METAL|1
6212|PONTIC - CAST NOBLE METAL|1
6214|PONTIC TITANIUM|1
62222|Infection Control  preventive|1
62223|Infection Control  basic|1
62224|Infection Control  major|1
62225|Infection Control  denial|1
6240|PONTIC - PORCELAIN FUSED TO HIGH NOBLE METAL|1
6241|PONTIC - PORCELN FUSED PREDOMINANTLY BASE METAL|1
6242|PONTIC - PORCELAIN FUSED TO NOBLE METAL|1
6245|PONTIC - PORCELAIN/CERAMIC|1
6250|PONTIC - RESIN WITH HIGH NOBLE METAL|1
6251|PONTIC - RESIN WITH PREDOMINANTLY BASE METAL|1
6252|PONTIC - RESIN WITH NOBLE METAL|1
6253|PROVISIONAL PONTIC|1
6519|INLAY/ONLAY-PORCELAIN/CERAMIC|1
6520|INLAY METALLIC TWO SURFACES|1
6530|INLAY METALLIC THREE/MORE SURFACES|1
6543|ONLAY METALLIC THREE SURFACES DENTURES|1
6544|ONLAY METALLIC FOUR OR MORE SURFACES DENTURES|1
6545|RETAINER - CAST METAL RESIN BONDED FIX PROSTH|1
6548|RETAINER - PORCELN/CERAMIC RSN BONDED FIX PROSTH|1
6600|INLAY-PORCELAIN/CERAMIC TWO SURFACES|1
6601|INLAY - PORCELAIN/CERAMIC THREE OR MORE SURFACES|1
6602|INLAY - CAST HIGH NOBLE METAL TWO SURFACES|1
6603|INLAY - CAST HIGH NOBLE METAL 3/MORE SURFACES|1
6604|INLAY - CAST PREDOMINANTLY BASE METAL 2 SURFACES|1
6605|INLAY - CAST PREDOM BASE METAL 3/MORE SURFACES|1
6606|INLAY - CAST NOBLE METAL TWO SURFACES|1
6607|INLAY - CAST NOBLE METAL THREE OR MORE SURFACES|1
6608|ONLAY - PORCELAIN/CERAMIC TWO SURFACES|1
6609|ONLAY - PORCELAIN/CERAMIC THREE OR MORE SURFACES|1
6610|ONLAY - CAST HIGH NOBLE METAL TWO SURFACES|1
6611|ONLAY - CAST HIGH NOBLE METAL 3/MORE SURFACES|1
6612|ONLAY - CAST PREDOMINANTLY BASE METAL 2 SURFACES|1
6613|ONLAY - CAST PREDOM BASE METAL 3/MORE SURFACES|1
6614|ONLAY - CAST NOBLE METAL TWO SURFACES|1
6615|ONLAY - CAST NOBLE METAL THREE OR MORE SURFACES|1
6624|INLAY TITANIUM|1
6634|ONLAY TITANIUM|1
6710|CROWN INDIRECT RESIN BASED COMPOSITE|1
6720|CROWN - RESIN WITH HIGH NOBLE METAL|1
6721|CROWN RESIN W/PREDOMINANTLY BASE METAL-DENTURE|1
6722|CROWN - RESIN WITH NOBLE METAL|1
6740|CROWN - PORCELAIN/CERAMIC|1
6750|CROWN PORCELAIN FUSED TO HI NOBLE METAL-DENTURE|1
6751|CROWN - PORCELAIN FUSED PREDOMINANTLY BASE METAL|1
6752|CROWN - PORCELAIN FUSED TO NOBLE METAL|1
6780|CROWN - 3/4 CAST HIGH NOBLE METAL|1
6781|CROWN - 3/4 CAST PREDOMINATELY BASED METAL|1
6782|CROWN 3/4 CAST NOBLE METAL-DENTURE|1
6783|CROWN 3/4 PORCELAIN/CERAMIC-DENTURE|1
6790|CROWN FULL CAST HIGH NOBLE METAL-DENTURE|1
6791|CROWN FULL CAST PREDOMINANTLY BASE METAL-DENTURE|1
6792|CROWN FULL CAST NOBLE METAL-DENTURE|1
6793|PROVISIONAL RETAINER CROWN|1
6794|CROWN TITANIUM|1
6920|CONNECTOR BAR|1
6930|RECEMENT FIXED PARTIAL DENTURE|1
6940|STRESS BREAKER|1
6950|PRECISION ATTACHMENT|1
6970|CAST POST&CORE ADDITION FIX PART DENTUR RETAINER|1
6971|CAST POST AS PART FIXED PARTIAL DENTURE RETAINER|1
6972|PREFAB POST&CORE ADD FIX PART DENTUR RETAIN|1
6973|CORE BUILD UP FOR RETAINER INCLUDING ANY PINS|1
6975|COPING - METAL|1
6976|EACH ADDITIONAL CAST POST - SAME TOOTH-DENTURE|1
6977|EACH ADD PREFABRICATED POST - SAME TOOTH-DENTURE|1
6980|FIXED PARTIAL DENTURE REPAIR BY REPORT|1
6985|PEDIATRIC PARTIAL DENTURE FIXED|1
6999|UNSPECIFIED FIXED PROSTHODONTIC PROCEDURE REPORT|1
69997|Award Payment|1
69998|Supplemental Dental|1
7110|SINGLE TOOTH|1
7111|EXTRACTION CORONAL REMNANTS DECIDUOUS TOOTH|1
7120|EACH ADDITIONAL TOOTH|1
7130|ROOT REMOVAL EXPOSED ROOTS|1
7140|EXTRACTION ERUPTED TOOTH OR EXPOSED ROOT|1
7210|SURG REMV ERUPTED TOOTH RQR ELEV FLP&REMV BONE|1
7220|REMOVAL OF IMPACTED TOOTH - SOFT TISSUE|1
7230|REMOVAL OF IMPACTED TOOTH - PARTIALLY BONY|1
7240|REMOVAL OF IMPACTED TOOTH - COMPLETELY BONY|1
7241|REMV IMP TOOTH - CMPL BONY W/UNUSUAL SURG COMPS|1
7250|SURGICAL REMOVAL OF RESIDUAL TOOTH ROOTS|1
7260|OROLANTRAL FISTULA CLOSURE|1
7261|PRIMARY CLOSURE OF A SINUS PERFORATION|1
7270|TOOTH REIMPL &OR STBL ACC EVULSED/DISPLCD TOOTH|1
7272|TOOTH TRANSPLANTATION|1
7280|SURGICAL ACCESS OF AN UNERUPTED TOOTH|1
7281|SURG EXPOS IMPACT/UNERUPTED TOOTH AID ERUPTION|1
7282|MOBILIZ ERUPTED/MALPOSITIONED TOOTH AID ERUPTION|1
7283|PLCMT DEVICE FACILITATE ERUPTION IMPACTED TOOTH|1
7285|BIOPSY OF ORAL TISSUE HARD|1
7286|BIOPSY OF ORAL TISSUE  SOFT|1
