MR_LINE_CASE_KEY|CODE_SET_YEAR|MR_LINE_DESC2|MR_LINE|MR_LINE_DESC|PROD_TYPE|MR_LINE_DESC1|HCG_DESC_02
599|2016|Miscellaneous Medical|P37i|PHY Miscellaneous Medical - Central Nervous System Tests|MEDICAL|PHY |3. Professional
600|2016|Miscellaneous Medical|P37j|PHY Miscellaneous Medical - Dermatology|MEDICAL|PHY |3. Professional
601|2016|Miscellaneous Medical|P37k|PHY Miscellaneous Medical - Dialysis|MEDICAL|PHY |3. Professional
602|2016|Preventive Other|P40a|PHY Preventive Other - General|MEDICAL|PHY |3. Professional
603|2016|Preventive Other|P40b|PHY Preventive Other - Colonoscopy|MEDICAL|PHY |3. Professional
604|2016|Preventive Other|P40c|PHY Preventive Other - Mammography|MEDICAL|PHY |3. Professional
605|2016|Preventive Other|P40d|PHY Preventive Other - Lab|MEDICAL|PHY |3. Professional
606|2016|Preventive Immunizations|P41|PHY Preventive Immunizations|MEDICAL|PHY |3. Professional
607|2016|Preventive Well Baby Exams|P42|PHY Preventive Well Baby Exams|MEDICAL|PHY |3. Professional
608|2016|Preventive Physical Exams|P43|PHY Preventive Physical Exams|MEDICAL|PHY |3. Professional
609|2016|Vision Exams|P44|PHY Vision Exams|VISION|PHY |3. Professional
610|2016|Hearing and Speech Exams|P45|PHY Hearing and Speech Exams|MEDICAL|PHY |3. Professional
611|2016|ER Visits and Observation Care|P51|PHY ER Visits and Observation Care|MEDICAL|PHY |3. Professional
612|2016|Physical Therapy|P53|PHY Physical Therapy|MEDICAL|PHY |3. Professional
613|2016|Cardiovascular|P54|PHY Cardiovascular|MEDICAL|PHY |3. Professional
614|2016|Radiology IP|P55b|PHY Radiology IP - CT Scan|MEDICAL|PHY |3. Professional
615|2016|Radiology IP|P55c|PHY Radiology IP - MRI|MEDICAL|PHY |3. Professional
616|2016|Radiology IP|P55d|PHY Radiology IP - PET|MEDICAL|PHY |3. Professional
617|2016|Radiology IP|P55e|PHY Radiology IP - General - Therapeutic|MEDICAL|PHY |3. Professional
618|2016|Radiology IP|P55f|PHY Radiology IP - General - Diagnostic|MEDICAL|PHY |3. Professional
619|2016|Radiology OP - General|P56a|PHY Radiology OP - General - Therapeutic|MEDICAL|PHY |3. Professional
620|2016|Radiology OP - General|P56b|PHY Radiology OP - General - Diagnostic|MEDICAL|PHY |3. Professional
621|2016|Radiology OP- CT/MRI/PET|P57a|PHY Radiology OP- CT/MRI/PET - CT Scan|MEDICAL|PHY |3. Professional
622|2016|Radiology OP- CT/MRI/PET|P57b|PHY Radiology OP- CT/MRI/PET - MRI|MEDICAL|PHY |3. Professional
623|2016|Radiology OP- CT/MRI/PET|P57c|PHY Radiology OP- CT/MRI/PET - PET|MEDICAL|PHY |3. Professional
624|2016|Radiology Office - General|P58c|PHY Radiology Office - General - Therapeutic|MEDICAL|PHY |3. Professional
625|2016|Radiology Office - General|P58d|PHY Radiology Office - General - Diagnostic|MEDICAL|PHY |3. Professional
626|2016|Radiology Office - General|P58e|PHY Radiology Office - General - Radiology Center - Therapeutic|MEDICAL|PHY |3. Professional
627|2016|Radiology Office - General|P58f|PHY Radiology Office - General - Radiology Center - Diagnostic|MEDICAL|PHY |3. Professional
628|2016|Radiology Office - CT/MRI/PET|P59a|PHY Radiology Office - CT/MRI/PET - CT Scan|MEDICAL|PHY |3. Professional
629|2016|Radiology Office - CT/MRI/PET|P59b|PHY Radiology Office - CT/MRI/PET - MRI|MEDICAL|PHY |3. Professional
630|2016|Radiology Office - CT/MRI/PET|P59c|PHY Radiology Office - CT/MRI/PET - PET|MEDICAL|PHY |3. Professional
631|2016|Radiology Office - CT/MRI/PET|P59d|PHY Radiology Office - CT/MRI/PET - CT Scan - Radiology Center|MEDICAL|PHY |3. Professional
632|2016|Radiology Office - CT/MRI/PET|P59e|PHY Radiology Office - CT/MRI/PET - MRI - Radiology Center|MEDICAL|PHY |3. Professional
633|2016|Radiology Office - CT/MRI/PET|P59f|PHY Radiology Office - CT/MRI/PET - PET - Radiology Center|MEDICAL|PHY |3. Professional
634|2016|Pathology/Lab - Inpatient & Outpatient|P61a|PHY Pathology/Lab - Inpatient & Outpatient - Inpatient|MEDICAL|PHY |3. Professional
635|2016|Pathology/Lab - Inpatient & Outpatient|P61b|PHY Pathology/Lab - Inpatient & Outpatient - Outpatient|MEDICAL|PHY |3. Professional
636|2016|Pathology/Lab - Office|P63a|PHY Pathology/Lab - Office - General|MEDICAL|PHY |3. Professional
637|2016|Pathology/Lab - Office|P63b|PHY Pathology/Lab - Office - Venipuncture|MEDICAL|PHY |3. Professional
638|2016|Pathology/Lab - Office|P63c|PHY Pathology/Lab - Office - Independent Lab|MEDICAL|PHY |3. Professional
639|2016|Chiropractor|P65|PHY Chiropractor|MEDICAL|PHY |3. Professional
640|2016|Outpatient Psychiatric|P66|PHY Outpatient Psychiatric|MEDICAL|PHY |3. Professional
641|2016|Outpatient Alcohol & Drug Abuse|P67|PHY Outpatient Alcohol & Drug Abuse|MEDICAL|PHY |3. Professional
642|2016|Prescription Drugs|P81a|OTH Prescription Drugs - Non-Specialty Generic|RX|RX  |4. Prescription Drug
643|2016|Prescription Drugs|P81b|OTH Prescription Drugs - Non-Specialty Multi Source Brand|RX|RX  |4. Prescription Drug
644|2016|Prescription Drugs|P81c|OTH Prescription Drugs - Non-Specialty Single Source Brand|RX|RX  |4. Prescription Drug
645|2016|Prescription Drugs|P81e|OTH Prescription Drugs - OTC|RX|RX  |4. Prescription Drug
646|2016|Prescription Drugs|P81g|OTH Prescription Drugs - Specialty|RX|RX  |4. Prescription Drug
647|2016|Private Duty Nursing/Home Health|P82a|OTH Private Duty Nursing/Home Health - HH|MEDICAL|OTH |5. Ancillary
648|2016|Private Duty Nursing/Home Health|P82b|OTH Private Duty Nursing/Home Health - Hospice|MEDICAL|OTH |5. Ancillary
649|2016|Ambulance|P83|OTH Ambulance|MEDICAL|OTH |5. Ancillary
650|2016|DME and Supplies|P84|OTH DME and Supplies|MEDICAL|OTH |5. Ancillary
651|2016|Prosthetics|P85|OTH Prosthetics|MEDICAL|OTH |5. Ancillary
652|2016|Benefits Glasses/Contacts|P89|OTH Benefits Glasses/Contacts|VISION|OTH |5. Ancillary
653|2016|Benefits Other|P99a|OTH Benefits Other - General|MEDICAL|OTH |5. Ancillary
654|2016|Benefits Other|P99b|OTH Benefits Other - Hearing Aids|MEDICAL|OTH |5. Ancillary
655|2016|Benefits Other|P99c|OTH Benefits Other - Dental|MEDICAL|OTH |5. Ancillary
656|2016|Benefits Other|P99d|OTH Benefits Other - Acupuncture|MEDICAL|OTH |5. Ancillary
657|2016|Benefits Other|P99e|OTH Benefits Other - Reproductive Medicine|MEDICAL|OTH |5. Ancillary
658|2016|Benefits Other|P99f|OTH Benefits Other - Temporary Codes|MEDICAL|OTH |5. Ancillary
659|2016|Benefits Other|P99g|OTH Benefits Other - Documentation/Unclassified|MEDICAL|OTH |5. Ancillary
660|2016|Benefits Other|P99h|OTH Benefits Other - Non-Emergency Transportation|MEDICAL|OTH |5. Ancillary
