PROC_CODE|CPT_CUSTOM|CPT_DESC
01990||Support for organ donor
01991||Anesth, nerve block/inj
01992||Anesth, n block/inj, prone
01995||Regional anesthesia limb
01996||Hosp manage cont drug admin
01999||Unlisted anesth procedure
10021||Fna w/o image
10022||Fna w/image
10040||Acne surgery
10060||Drainage of skin abscess
10061||Drainage of skin abscess
10080||Drainage of pilonidal cyst
10081||Drainage of pilonidal cyst
10120||Remove foreign body
10121||Remove foreign body
10140||Drainage of hematoma/fluid
10160||Puncture drainage of lesion
10180||Complex drainage wound
11000||Debride infected skin
11001||Debride infected skin add-on
11004||Debride genitalia & perineum
11005||Debride abdom wall
11006||Debride genit/per/abdom wall
11008||Remove mesh from abd wall
11010||Debride skin at fx site
11011||Debride skin musc at fx site
11012||Deb skin bone at fx site
11040||Debride skin, partial
11041||Debride skin, full
11042||Deb subq tissue 20 sq cm/<
11043||Deb musc/fascia 20 sq cm/<
11044||Deb bone 20 sq cm/<
11045||Deb subq tissue add-on
11046||Deb musc/fascia add-on
11047||Deb bone add-on
11055||Trim skin lesion
11056||Trim skin lesions 2 to 4
11057||Trim skin lesions over 4
11100||Biopsy skin lesion
11101||Biopsy skin add-on
11200||Removal of skin tags <w/15
11201||Remove skin tags add-on
11300||Shave skin lesion 0.5 cm/<
11301||Shave skin lesion 0.6-1.0 cm
11302||Shave skin lesion 1.1-2.0 cm
11303||Shave skin lesion >2.0 cm
11305||Shave skin lesion 0.5 cm/<
11306||Shave skin lesion 0.6-1.0 cm
11307||Shave skin lesion 1.1-2.0 cm
11308||Shave skin lesion >2.0 cm
11310||Shave skin lesion 0.5 cm/<
11311||Shave skin lesion 0.6-1.0 cm
11312||Shave skin lesion 1.1-2.0 cm
11313||Shave skin lesion >2.0 cm
11400||Exc tr-ext b9+marg 0.5 < cm
11401||Exc tr-ext b9+marg 0.6-1 cm
11402||Exc tr-ext b9+marg 1.1-2 cm
11403||Exc tr-ext b9+marg 2.1-3 cm
11404||Exc tr-ext b9+marg 3.1-4 cm
11406||Exc tr-ext b9+marg >4.0 cm
11420||Exc h-f-nk-sp b9+marg 0.5 <
11421||Exc h-f-nk-sp b9+marg 0.6-1
11422||Exc h-f-nk-sp b9+marg 1.1-2
11423||Exc h-f-nk-sp b9+marg 2.1-3
11424||Exc h-f-nk-sp b9+marg 3.1-4
11426||Exc h-f-nk-sp b9+marg >4 cm
11440||Exc face-mm b9+marg 0.5 < cm
11441||Exc face-mm b9+marg 0.6-1 cm
11442||Exc face-mm b9+marg 1.1-2 cm
11443||Exc face-mm b9+marg 2.1-3 cm
11444||Exc face-mm b9+marg 3.1-4 cm
11446||Exc face-mm b9+marg >4 cm
11450||Removal sweat gland lesion
11451||Removal sweat gland lesion
11462||Removal sweat gland lesion
11463||Removal sweat gland lesion
11470||Removal sweat gland lesion
11471||Removal sweat gland lesion
11600||Exc tr-ext mal+marg 0.5 < cm
11601||Exc tr-ext mal+marg 0.6-1 cm
11602||Exc tr-ext mal+marg 1.1-2 cm
11603||Exc tr-ext mal+marg 2.1-3 cm
11604||Exc tr-ext mal+marg 3.1-4 cm
11606||Exc tr-ext mal+marg >4 cm
11620||Exc h-f-nk-sp mal+marg 0.5 <
11621||Exc s/n/h/f/g mal+mrg 0.6-1
11622||Exc s/n/h/f/g mal+mrg 1.1-2
11623||Exc s/n/h/f/g mal+mrg 2.1-3
11624||Exc s/n/h/f/g mal+mrg 3.1-4
11626||Exc s/n/h/f/g mal+mrg >4 cm
11640||Exc f/e/e/n/l mal+mrg 0.5cm<
11641||Exc f/e/e/n/l mal+mrg 0.6-1
11642||Exc f/e/e/n/l mal+mrg 1.1-2
11643||Exc f/e/e/n/l mal+mrg 2.1-3
11644||Exc f/e/e/n/l mal+mrg 3.1-4
11646||Exc f/e/e/n/l mal+mrg >4 cm
11719||Trim nail(s) any number
11720||Debride nail 1-5
11721||Debride nail 6 or more
11730||Removal of nail plate
11732||Remove nail plate add-on
11740||Drain blood from under nail
11750||Removal of nail bed
11752||Remove nail bed/finger tip
11755||Biopsy nail unit
11760||Repair of nail bed
11762||Reconstruction of nail bed
11765||Excision of nail fold toe
11770||Remove pilonidal cyst simple
11771||Remove pilonidal cyst exten
11772||Remove pilonidal cyst compl
11900||Inject skin lesions </w 7
11901||Inject skin lesions >7
11920||Correct skin color 6.0 cm/<
11921||Corect skin color 6.1-20.0cm
11922||Correct skin color ea 20.0cm
11950||Tx contour defects 1 cc/<
11951||Tx contour defects 1.1-5.0cc
11952||Tx contour defects 5.1-10cc
11954||Tx contour defects >10.0 cc
11960||Insert tissue expander(s)
11970||Replace tissue expander
11971||Remove tissue expander(s)
11975||Insert contraceptive cap
11976||Remove contraceptive capsule
11977||Removal/reinsert contra cap
11980||Implant hormone pellet(s)
11981||Insert drug implant device
11982||Remove drug implant device
11983||Remove/insert drug implant
12001||Rpr s/n/ax/gen/trnk 2.5cm/<
12002||Rpr s/n/ax/gen/trnk2.6-7.5cm
12004||Rpr s/n/ax/gen/trk7.6-12.5cm
12005||Rpr s/n/a/gen/trk12.6-20.0cm
12006||Rpr s/n/a/gen/trk20.1-30.0cm
12007||Rpr s/n/ax/gen/trnk >30.0 cm
12011||Rpr f/e/e/n/l/m 2.5 cm/<
12013||Rpr f/e/e/n/l/m 2.6-5.0 cm
12014||Rpr f/e/e/n/l/m 5.1-7.5 cm
12015||Rpr f/e/e/n/l/m 7.6-12.5 cm
12016||Rpr fe/e/en/l/m 12.6-20.0 cm
12017||Rpr fe/e/en/l/m 20.1-30.0 cm
12018||Rpr f/e/e/n/l/m >30.0 cm
12020||Closure of split wound
12021||Closure of split wound
12031||Intmd rpr s/a/t/ext 2.5 cm/<
12032||Intmd rpr s/a/t/ext 2.6-7.5
12034||Intmd rpr s/tr/ext 7.6-12.5
12035||Intmd rpr s/a/t/ext 12.6-20
12036||Intmd rpr s/a/t/ext 20.1-30
12037||Intmd rpr s/tr/ext >30.0 cm
12041||Intmd rpr n-hf/genit 2.5cm/<
12042||Intmd rpr n-hf/genit2.6-7.5
12044||Intmd rpr n-hf/genit7.6-12.5
12045||Intmd rpr n-hf/genit12.6-20
12046||Intmd rpr n-hf/genit20.1-30
12047||Intmd rpr n-hf/genit >30.0cm
12051||Intmd rpr face/mm 2.5 cm/<
12052||Intmd rpr face/mm 2.6-5.0 cm
12053||Intmd rpr face/mm 5.1-7.5 cm
12054||Intmd rpr face/mm 7.6-12.5cm
12055||Intmd rpr face/mm 12.6-20 cm
12056||Intmd rpr face/mm 20.1-30.0
12057||Intmd rpr face/mm >30.0 cm
13100||Cmplx rpr trunk 1.1-2.5 cm
13101||Cmplx rpr trunk 2.6-7.5 cm
13102||Cmplx rpr trunk addl 5cm/<
13120||Cmplx rpr s/a/l 1.1-2.5 cm
13121||Cmplx rpr s/a/l 2.6-7.5 cm
13122||Cmplx rpr s/a/l addl 5 cm/>
13131||Cmplx rpr f/c/c/m/n/ax/g/h/f
13132||Cmplx rpr f/c/c/m/n/ax/g/h/f
13133||Cmplx rpr f/c/c/m/n/ax/g/h/f
13150||Cmplx rpr e/n/e/l 1.0 cm/<
13151||Cmplx rpr e/n/e/l 1.1-2.5 cm
13152||Cmplx rpr e/n/e/l 2.6-7.5 cm
13153||Cmplx rpr e/n/e/l addl 5cm/<
13160||Late closure of wound
14000||Tis trnfr trunk 10 sq cm/<
14001||Tis trnfr trunk 10.1-30sqcm
14020||Tis trnfr s/a/l 10 sq cm/<
14021||Tis trnfr s/a/l 10.1-30 sqcm
14040||Tis trnfr f/c/c/m/n/a/g/h/f
14041||Tis trnfr f/c/c/m/n/a/g/h/f
14060||Tis trnfr e/n/e/l 10 sq cm/<
14061||Tis trnfr e/n/e/l10.1-30sqcm
14300||Skin tissue rearrangement
14301||Tis trnfr any 30.1-60 sq cm
14302||Tis trnfr addl 30 sq cm/<
14350||Filleted finger/toe flap
15002||Wound prep trk/arm/leg
15003||Wound prep addl 100 cm
15004||Wound prep f/n/hf/g
15005||Wnd prep f/n/hf/g addl cm
15040||Harvest cultured skin graft
15050||Skin pinch graft
15100||Skin splt grft trnk/arm/leg
15101||Skin splt grft t/a/l add-on
15110||Epidrm autogrft trnk/arm/leg
15111||Epidrm autogrft t/a/l add-on
15115||Epidrm a-grft face/nck/hf/g
15116||Epidrm a-grft f/n/hf/g addl
15120||Skn splt a-grft fac/nck/hf/g
15121||Skn splt a-grft f/n/hf/g add
15130||Derm autograft trnk/arm/leg
15131||Derm autograft t/a/l add-on
15135||Derm autograft face/nck/hf/g
15136||Derm autograft f/n/hf/g add
15150||Cult skin grft t/arm/leg
15151||Cult skin grft t/a/l addl
15152||Cult skin graft t/a/l +%
15155||Cult skin graft f/n/hf/g
15156||Cult skin grft f/n/hfg add
15157||Cult epiderm grft f/n/hfg +%
15170||Acell graft trunk/arms/legs
15171||Acell graft t/arm/leg add-on
15175||Acellular graft f/n/hf/g
15176||Acell graft f/n/hf/g add-on
15200||Skin full graft trunk
15201||Skin full graft trunk add-on
15220||Skin full graft sclp/arm/leg
15221||Skin full graft add-on
15240||Skin full grft face/genit/hf
15241||Skin full graft add-on
15260||Skin full graft een & lips
15261||Skin full graft add-on
15271||Skin sub graft trnk/arm/leg
15272||Skin sub graft t/a/l add-on
15273||Skin sub grft t/arm/lg child
15274||Skn sub grft t/a/l child add
15275||Skin sub graft face/nk/hf/g
15276||Skin sub graft f/n/hf/g addl
15277||Skn sub grft f/n/hf/g child
15278||Skn sub grft f/n/hf/g ch add
15300||Apply skinallogrft t/arm/lg
15301||Apply sknallogrft t/a/l addl
15320||Apply skin allogrft f/n/hf/g
15321||Aply sknallogrft f/n/hfg add
15330||Aply acell alogrft t/arm/leg
15331||Aply acell grft t/a/l add-on
15335||Apply acell graft f/n/hf/g
15336||Aply acell grft f/n/hf/g add
15340||Apply cult skin substitute
15341||Apply cult skin sub add-on
15360||Apply cult derm sub t/a/l
15361||Aply cult derm sub t/a/l add
15365||Apply cult derm sub f/n/hf/g
15366||Apply cult derm f/hf/g add
15400||Apply skin xenograft t/a/l
15401||Apply skn xenogrft t/a/l add
15420||Apply skin xgraft f/n/hf/g
15421||Apply skn xgrft f/n/hf/g add
15430||Apply acellular xenograft
15431||Apply acellular xgraft add
15570||Skin pedicle flap trunk
15572||Skin pedicle flap arms/legs
15574||Pedcle fh/ch/ch/m/n/ax/g/h/f
15576||Pedicle e/n/e/l/ntroral
15600||Delay flap trunk
15610||Delay flap arms/legs
15620||Delay flap f/c/c/n/ax/g/h/f
15630||Delay flap eye/nos/ear/lip
15650||Transfer skin pedicle flap
15731||Forehead flap w/vasc pedicle
15732||Muscle-skin graft head/neck
15734||Muscle-skin graft trunk
15736||Muscle-skin graft arm
15738||Muscle-skin graft leg
15740||Island pedicle flap graft
15750||Neurovascular pedicle flap
15756||Free myo/skin flap microvasc
15757||Free skin flap microvasc
15758||Free fascial flap microvasc
15760||Composite skin graft
15770||Derma-fat-fascia graft
15775||Hair trnspl 1-15 punch grfts
15776||Hair trnspl >15 punch grafts
15777||Acellular derm matrix implt
15780||Dermabrasion total face
15781||Dermabrasion segmental face
15782||Dermabrasion other than face
15783||Dermabrasion suprfl any site
15786||Abrasion lesion single
15787||Abrasion lesions add-on
15788||Chemical peel face epiderm
15789||Chemical peel face dermal
15792||Chemical peel nonfacial
15793||Chemical peel nonfacial
15819||Plastic surgery neck
15820||Revision of lower eyelid
15821||Revision of lower eyelid
15822||Revision of upper eyelid
15823||Revision of upper eyelid
15824||Removal of forehead wrinkles
15825||Removal of neck wrinkles
15826||Removal of brow wrinkles
15828||Removal of face wrinkles
15829||Removal of skin wrinkles
15830||Exc skin abd
15832||Excise excessive skin thigh
15833||Excise excessive skin leg
15834||Excise excessive skin hip
15835||Excise excessive skin buttck
15836||Excise excessive skin arm
15837||Excise excess skin arm/hand
15838||Excise excess skin fat pad
15839||Excise excess skin & tissue
15840||Nerve palsy fascial graft
15841||Nerve palsy muscle graft
15842||Nerve palsy microsurg graft
15845||Skin and muscle repair face
15847||Exc skin abd add-on
15850||Remove sutures same surgeon
15851||Remove sutures diff surgeon
15852||Dressing change not for burn
15860||Test for blood flow in graft
15876||Suction lipectomy head&neck
15877||Suction lipectomy trunk
15878||Suction lipectomy upr extrem
15879||Suction lipectomy lwr extrem
15920||Removal of tail bone ulcer
15922||Removal of tail bone ulcer
15931||Remove sacrum pressure sore
15933||Remove sacrum pressure sore
15934||Remove sacrum pressure sore
15935||Remove sacrum pressure sore
15936||Remove sacrum pressure sore
15937||Remove sacrum pressure sore
15940||Remove hip pressure sore
15941||Remove hip pressure sore
15944||Remove hip pressure sore
15945||Remove hip pressure sore
15946||Remove hip pressure sore
15950||Remove thigh pressure sore
15951||Remove thigh pressure sore
15952||Remove thigh pressure sore
15953||Remove thigh pressure sore
15956||Remove thigh pressure sore
15958||Remove thigh pressure sore
15999||Removal of pressure sore
16000||Initial treatment of burn(s)
16020||Dress/debrid p-thick burn s
16025||Dress/debrid p-thick burn m
16030||Dress/debrid p-thick burn l
16035||Incision of burn scab initi
16036||Escharotomy addl incision
17000||Destruct premalg lesion
17003||Destruct premalg les 2-14
17004||Destroy premal lesions 15/>
17106||Destruction of skin lesions
17107||Destruction of skin lesions
17108||Destruction of skin lesions
17110||Destruct b9 lesion 1-14
17111||Destruct lesion 15 or more
17250||Chemical cautery tissue
17260||Destruction of skin lesions
17261||Destruction of skin lesions
17262||Destruction of skin lesions
17263||Destruction of skin lesions
17264||Destruction of skin lesions
17266||Destruction of skin lesions
17270||Destruction of skin lesions
17271||Destruction of skin lesions
17272||Destruction of skin lesions
17273||Destruction of skin lesions
17274||Destruction of skin lesions
17276||Destruction of skin lesions
17280||Destruction of skin lesions
17281||Destruction of skin lesions
17282||Destruction of skin lesions
17283||Destruction of skin lesions
17284||Destruction of skin lesions
17286||Destruction of skin lesions
17311||Mohs 1 stage h/n/hf/g
17312||Mohs addl stage
17313||Mohs 1 stage t/a/l
17314||Mohs addl stage t/a/l
17315||Mohs surg addl block
17340||Cryotherapy of skin
17360||Skin peel therapy
17380||Hair removal by electrolysis
17999||Skin tissue procedure
19000||Drainage of breast lesion
19001||Drain breast lesion add-on
19020||Incision of breast lesion
19030||Injection for breast x-ray
19100||Bx breast percut w/o image
19101||Biopsy of breast open
19102||Bx breast percut w/image
19103||Bx breast percut w/device
19105||Cryosurg ablate fa each
19110||Nipple exploration
19112||Excise breast duct fistula
19120||Removal of breast lesion
19125||Excision breast lesion
19126||Excision addl breast lesion
19260||Removal of chest wall lesion
19271||Revision of chest wall
19272||Extensive chest wall surgery
19290||Place needle wire breast
19291||Place needle wire breast
19295||Place breast clip percut
19296||Place po breast cath for rad
19297||Place breast cath for rad
19298||Place breast rad tube/caths
19300||Removal of breast tissue
19301||Partial mastectomy
19302||P-mastectomy w/ln removal
19303||Mast simple complete
19304||Mast subq
19305||Mast radical
19306||Mast rad urban type
19307||Mast mod rad
19316||Suspension of breast
19318||Reduction of large breast
19324||Enlarge breast
19325||Enlarge breast with implant
19328||Removal of breast implant
19330||Removal of implant material
19340||Immediate breast prosthesis
19342||Delayed breast prosthesis
19350||Breast reconstruction
19355||Correct inverted nipple(s)
19357||Breast reconstruction
19361||Breast reconstr w/lat flap
19364||Breast reconstruction
19366||Breast reconstruction
19367||Breast reconstruction
19368||Breast reconstruction
19369||Breast reconstruction
19370||Surgery of breast capsule
19371||Removal of breast capsule
19380||Revise breast reconstruction
19396||Design custom breast implant
19499||Breast surgery procedure
20000||Incision of abscess
20005||I&d abscess subfascial
20100||Explore wound neck
20101||Explore wound chest
20102||Explore wound abdomen
20103||Explore wound extremity
20150||Excise epiphyseal bar
20200||Muscle biopsy
20205||Deep muscle biopsy
20206||Needle biopsy muscle
20220||Bone biopsy trocar/needle
20225||Bone biopsy trocar/needle
20240||Bone biopsy excisional
20245||Bone biopsy excisional
20250||Open bone biopsy
20251||Open bone biopsy
20500||Injection of sinus tract
20501||Inject sinus tract for x-ray
20520||Removal of foreign body
20525||Removal of foreign body
20526||Ther injection carp tunnel
20527||Inj dupuytren cord w/enzyme
20550||Inj tendon sheath/ligament
20551||Inj tendon origin/insertion
20552||Inj trigger point 1/2 muscl
20553||Inject trigger points =/> 3
20555||Place ndl musc/tis for rt
20600||Drain/inject joint/bursa
20605||Drain/inject joint/bursa
20610||Drain/inject joint/bursa
20612||Aspirate/inj ganglion cyst
20615||Treatment of bone cyst
20650||Insert and remove bone pin
20660||Apply rem fixation device
20661||Application of head brace
20662||Application of pelvis brace
20663||Application of thigh brace
20664||Application of halo
20665||Removal of fixation device
20670||Removal of support implant
20680||Removal of support implant
20690||Apply bone fixation device
20692||Apply bone fixation device
20693||Adjust bone fixation device
20694||Remove bone fixation device
20696||Comp multiplane ext fixation
20697||Comp ext fixate strut change
20802||Replantation arm complete
20805||Replant forearm complete
20808||Replantation hand complete
20816||Replantation digit complete
20822||Replantation digit complete
20824||Replantation thumb complete
20827||Replantation thumb complete
20838||Replantation foot complete
20900||Removal of bone for graft
20902||Removal of bone for graft
20910||Remove cartilage for graft
20912||Remove cartilage for graft
20920||Removal of fascia for graft
00702||Anesth, for liver biopsy
00730||Anesth, abdominal wall surg
00740||Anesth, upper gi visualize
00750||Anesth, repair of hernia
00752||Anesth, repair of hernia
00754||Anesth, repair of hernia
00756||Anesth, repair of hernia
00770||Anesth, blood vessel repair
00790||Anesth, surg upper abdomen
00792||Anesth, hemorr/excise liver
00794||Anesth, pancreas removal
00796||Anesth, for liver transplant
00797||Anesth, surgery for obesity
00800||Anesth, abdominal wall surg
00802||Anesth, fat layer removal
00810||Anesth, low intestine scope
00820||Anesth, abdominal wall surg
00830||Anesth, repair of hernia
00832||Anesth, repair of hernia
00834||Anesth, hernia repair< 1 yr
00836||Anesth hernia repair preemie
00840||Anesth, surg lower abdomen
00842||Anesth, amniocentesis
00844||Anesth, pelvis surgery
00846||Anesth, hysterectomy
00848||Anesth, pelvic organ surg
00851||Anesth, tubal ligation
00860||Anesth, surgery of abdomen
00862||Anesth, kidney/ureter surg
00864||Anesth, removal of bladder
00865||Anesth, removal of prostate
00866||Anesth, removal of adrenal
00868||Anesth, kidney transplant
00870||Anesth, bladder stone surg
00872||Anesth kidney stone destruct
00873||Anesth kidney stone destruct
00880||Anesth, abdomen vessel surg
00882||Anesth, major vein ligation
00902||Anesth, anorectal surgery
00904||Anesth, perineal surgery
00906||Anesth, removal of vulva
00908||Anesth, removal of prostate
00910||Anesth, bladder surgery
00912||Anesth, bladder tumor surg
00914||Anesth, removal of prostate
00916||Anesth, bleeding control
00918||Anesth, stone removal
00920||Anesth, genitalia surgery
00921||Anesth, vasectomy
00922||Anesth, sperm duct surgery
00924||Anesth, testis exploration
00926||Anesth, removal of testis
00928||Anesth, removal of testis
00930||Anesth, testis suspension
00932||Anesth, amputation of penis
00934||Anesth, penis, nodes removal
00936||Anesth, penis, nodes removal
00938||Anesth, insert penis device
00940||Anesth, vaginal procedures
00942||Anesth, surg on vag/urethral
00944||Anesth, vaginal hysterectomy
00948||Anesth, repair of cervix
00950||Anesth, vaginal endoscopy
00952||Anesth, hysteroscope/graph
01112||Anesth, bone aspirate/bx
01120||Anesth, pelvis surgery
01130||Anesth, body cast procedure
01140||Anesth, amputation at pelvis
01150||Anesth, pelvic tumor surgery
01160||Anesth, pelvis procedure
01170||Anesth, pelvis surgery
01173||Anesth, fx repair, pelvis
01180||Anesth, pelvis nerve removal
01190||Anesth, pelvis nerve removal
01200||Anesth, hip joint procedure
01202||Anesth, arthroscopy of hip
01210||Anesth, hip joint surgery
01212||Anesth, hip disarticulation
01214||Anesth, hip arthroplasty
01215||Anesth, revise hip repair
01220||Anesth, procedure on femur
01230||Anesth, surgery of femur
01232||Anesth, amputation of femur
01234||Anesth, radical femur surg
01250||Anesth, upper leg surgery
20922||Removal of fascia for graft
20924||Removal of tendon for graft
20926||Removal of tissue for graft
20930||Sp bone algrft morsel add-on
20931||Sp bone algrft struct add-on
20936||Sp bone agrft local add-on
20937||Sp bone agrft morsel add-on
20938||Sp bone agrft struct add-on
20950||Fluid pressure muscle
20955||Fibula bone graft microvasc
20956||Iliac bone graft microvasc
20957||Mt bone graft microvasc
20962||Other bone graft microvasc
20969||Bone/skin graft microvasc
20970||Bone/skin graft iliac crest
20972||Bone/skin graft metatarsal
20973||Bone/skin graft great toe
20974||Electrical bone stimulation
20975||Electrical bone stimulation
20979||Us bone stimulation
20982||Ablate bone tumor(s) perq
20985||Cptr-asst dir ms px
20986||Cptr-asst dir ms px io img
20987||Cptr-asst dir ms px  pre img
20999||Musculoskeletal surgery
21010||Incision of jaw joint
21011||Exc face les sc <2 cm
21012||Exc face les sbq 2 cm/<
21013||Exc face tum deep < 2 cm
21014||Exc face tum deep 2 cm/>
21015||Resect face tum < 2 cm
21016||Resect face tum 2 cm/>
21025||Excision of bone lower jaw
21026||Excision of facial bone(s)
21029||Contour of face bone lesion
21030||Excise max/zygoma b9 tumor
21031||Remove exostosis mandible
21032||Remove exostosis maxilla
21034||Excise max/zygoma mal tumor
21040||Excise mandible lesion
21044||Removal of jaw bone lesion
21045||Extensive jaw surgery
21046||Remove mandible cyst complex
21047||Excise lwr jaw cyst w/repair
21048||Remove maxilla cyst complex
21049||Excis uppr jaw cyst w/repair
21050||Removal of jaw joint
21060||Remove jaw joint cartilage
21070||Remove coronoid process
21073||Mnpj of tmj w/anesth
21076||Prepare face/oral prosthesis
21077||Prepare face/oral prosthesis
21079||Prepare face/oral prosthesis
21080||Prepare face/oral prosthesis
21081||Prepare face/oral prosthesis
21082||Prepare face/oral prosthesis
